Island,Site,Treatment,Quadrat,longitude_x,latitude_y,Chao1_completeness_all,ACE_completeness_all,network_size_sufficient,weighted_NODF,weighted_connectance,interaction_evenness,H2,number.of.species.HL,robustness.HL,generality.HL,vulnerability.LL,modularity_index,no._interactions,no._interactions_video,no._interactions_all_veg,no._interactions_veg_search,no._interactions_leaf_baskets,CaCo_index,Foliage_projective_cover 
Sulawesi,Likupang,Monoculture Reforestation,LKA,125.0432036,1.670515492,88.23529,100,YES,1.538461538,0.110816727,0.378121398,0.847498829,11,0.672832588,1.952886961,1.593248299,32.42293,361,340,21,16,5,73.93,71.3
Sulawesi,Likupang,Monoculture Reforestation,LKB,125.0429911,1.670488253,100,90.07353,YES,16.17647059,0.12895704,0.311303128,0.935167799,8,0.631404338,1.824226441,1.270742519,9.812784,134,120,14,11,3,77.69,57.3
Sulawesi,Likupang,Monoculture Reforestation,LKC,125.0431371,1.670287978,100,100,YES,22.72727273,0.177562481,0.383812288,0.971484354,7,0.830990563,1.222392085,1.973732573,11.45543,292,280,12,12,0,80.4,65.7
Sulawesi,Likupang,Monoculture Reforestation,LK4,125.0428438,1.670086957,100,100,YES,0,0.115262783,0.200419198,1,8,0.549323955,1,1.30525565,23.5237,185,160,25,24,1,43.37,43.4
Sulawesi,Likupang,Monoculture Reforestation,LK5,125.04275,1.670466667,92.30769,100,YES,16.66666667,0.123828291,0.273309116,0.976380166,10,0.592168298,1.479377859,1.740157718,15.61882,295,280,15,13,2,84.76,51.67
Sulawesi,Likupang,Monoculture Reforestation,LK6,125.0427833,1.6703,92.85714,100,YES,16.07142857,0.13079042,0.348963757,0.32762649,11,0.844518403,1.381782144,2.018768777,8.633208,197,180,17,15,2,61.5,43.3
Sulawesi,Likupang,Mixed Species Regeneration,LK7,125.0405333,1.672933333,100,91.42857,YES,8.333333333,0.113095275,0.335480366,0.654267407,10,0.718861454,1.551701024,1.614966683,21.47094,393,380,13,13,0,83.47,79
Sulawesi,Likupang,Mixed Species Regeneration,LK8,125.0407,1.67305,100,100,YES,15.45454545,0.111338429,0.263744203,0.646981517,10,0.683745907,2.127442342,1.212710518,13.40329,936,920,16,16,0,83.62,78.3
Sulawesi,Likupang,Mixed Species Regeneration,LK9,125.0408333,1.6732,100,93.78099,YES,21.56862745,0.106951565,0.280362002,0.828350553,9,0.673119534,1.860237033,1.348309931,14.32227,519,500,19,18,1,73.48,46.67
Sulawesi,Likupang,Mixed Species Regeneration,LK10,125.0408167,1.673383333,100,100,YES,1.840490798,0.075879182,0.279249475,0.640632257,18,0.565615541,1.484603159,2.005839225,20.30073,878,840,38,36,2,82.8,92.67
Sulawesi,Likupang,Mixed Species Regeneration,LK11,125.0411667,1.67335,95,100,YES,11.11111111,0.120769527,0.426505572,0.531694867,15,0.709680209,1.478077777,3.594242354,34.68094,1109,1060,49,49,0,74.42,78.3
Sulawesi,Likupang,Mixed Species Regeneration,LK12,125.0411333,1.673533333,93.75,100,YES,0,0.084004034,0.223796315,0.832900284,12,0.570161703,1.498094007,1.358043161,31.50908,564,520,44,43,1,72.82,78.3
Sulawesi,Likupang,Reference Forest,LK13,125.0411079,1.67473321,95,95,YES,8.270676692,0.07522185,0.226839283,0.811053303,15,0.624224169,2.316014089,1.144191018,20.01509,1400,1380,20,19,1,89.36,92
Sulawesi,Likupang,Reference Forest,LK14,125.0412797,1.674731034,100,95.39171,YES,7.317073171,0.074959558,0.351477168,0.656154272,20,0.646939577,1.563220563,2.334676441,52.63498,1015,980,35,29,6,82.52,53.3
Sulawesi,Likupang,Reference Forest,LK15,125.0409191,1.674779674,100,100,YES,9.900990099,0.090433867,0.26080497,0.956108234,14,0.662333479,2.064992006,1.371494948,18.30555,364,340,24,24,0,84.14,97
Sulawesi,Likupang,Reference Forest,LK16,125.0408452,1.67470441,100,90.42386,YES,9.50617284,0.089746135,0.281338058,0.941174972,12,0.659381835,1.834621096,1.396239767,17.26524,389,360,29,27,2,87.04,91.3
Sulawesi,Likupang,Reference Forest,LK17,125.0407081,1.674866085,95.2381,87.06167,YES,11.59754224,0.0921961,0.258951292,0.946425958,13,0.659307864,2.350288409,1.153163373,24.81854,945,920,25,24,1,82.75,94.33
Sulawesi,Tiwoho,Monoculture Reforestation,TW1,124.8448891,1.594312947,100,93.7931,YES,18.82716049,0.077438021,0.200504593,0.981008055,15,0.795389182,1.162290138,1.625478603,25.98948,678,660,18,18,0,48.57,33.6
Sulawesi,Tiwoho,Monoculture Reforestation,TW2,124.8449679,1.594253316,100,100,YES,0,0.09733605,0.058598663,1,9,0.635321886,1,1.141393096,39.71703,575,560,15,15,0,24.97,22.9
Sulawesi,Tiwoho,Monoculture Reforestation,TW3,124.844734,1.594198713,100,100,YES,0,0.167979501,0.034752931,1,4,0.576666667,1,1.01575401,18.99681,526,520,6,6,0,2.71,17.4
Sulawesi,Tiwoho,Monoculture Reforestation,TW4,124.844894,1.594112159,100,94.44444,YES,3.25203252,0.064572677,0.11336418,0.981849048,16,0.811493341,1.003920183,1.449841553,26.85866,681,660,21,21,0,13.03,3.8
Sulawesi,Tiwoho,Monoculture Reforestation,TW5,124.844781,1.594043645,78.94737,100,YES,0,0.074566393,0.090614313,0.931209635,12,0.687990983,1.027027027,1.359097553,22.19642,296,280,16,16,0,12.52,6.6
Sulawesi,Tiwoho,Monoculture Reforestation,TW6,124.8448397,1.593929992,88.88889,100,YES,0,0.102720255,0.044343104,0.980802029,7,0.681072215,1.002967359,1.051437735,36.50565,674,660,14,13,1,31.69,14.8
Sulawesi,Tiwoho,Mixed Species Regeneration,TW7,124.8467897,1.594248237,100,91.42857,YES,16.33986928,0.121376284,0.298045926,0.941997295,10,0.66977893,1.893970236,1.504565715,11.81191,356,340,16,16,0,67.01,79.6
Sulawesi,Tiwoho,Mixed Species Regeneration,TW8,124.8465412,1.594214421,91.66667,90.82569,YES,24.19354839,0.126114272,0.229068192,0.805839959,8,0.79449294,1.131371085,1.643142901,23.32277,915,900,15,14,1,62.95,93.8
Sulawesi,Tiwoho,Mixed Species Regeneration,TW9,124.8464675,1.594023468,100,94.73684,YES,29.9382716,0.097359931,0.300779814,0.80621835,15,0.71684465,1.9368863,1.568071211,6.100257,240,220,20,20,0,78.74,61
Sulawesi,Tiwoho,Mixed Species Regeneration,TW10,124.84639,1.594530865,91.66667,100,YES,0,0.084862192,0.14626065,0.972430576,10,0.664758573,1.015037594,1.361103778,18.5146,133,120,13,13,0,58.47,83.7
Sulawesi,Tiwoho,Mixed Species Regeneration,TW11,124.8461314,1.594107223,100,93.55609,YES,12.76595745,0.100175389,0.300477548,0.941537869,14,0.701865424,1.631114811,1.774848403,13.49041,205,180,25,16,9,57.79,98
Sulawesi,Tiwoho,Mixed Species Regeneration,TW12,124.8460014,1.594521985,88.23529,93.75,YES,17.67241379,0.100924653,0.201547923,0.896163764,11,0.755298226,1.451598258,1.37429202,19.46938,339,320,19,19,0,57.31,NA
Sulawesi,Tiwoho,Reference Forest,TW13,124.8440647,1.594242529,100,94.11765,YES,27.98353909,0.132233743,0.454026094,0.529834431,13,0.843461814,1.384712725,2.846767045,13.12098,196,180,16,16,0,84.47,68.6
Sulawesi,Tiwoho,Reference Forest,TW14,124.8441505,1.594247974,100,100,YES,12.34567901,0.09717504,0.25925017,0.545995592,13,0.66292638,1.213372152,1.896229124,18.76567,395,380,15,15,0,73.96,91
Sulawesi,Tiwoho,Reference Forest,TW15,124.8440346,1.594291269,100,90,YES,31.91489362,0.138697419,0.449500978,0.510401236,14,0.786818965,1.510670885,3.205041349,9.285281,400,380,20,20,0,76.76,99.2
Sulawesi,Tiwoho,Reference Forest,TW16,124.8441365,1.594305213,100,100,YES,25.64102564,0.16219708,0.387790585,0.168807609,9,0.6166328,2.249557261,1.643172667,5.629381,314,300,14,13,1,57.53,92.6
Sulawesi,Tiwoho,Reference Forest,TW17,124.8442108,1.594334482,100,100,YES,17.85714286,0.117001975,0.283458088,0.284913768,11,0.815885913,1.559784717,1.482266623,5.559599,593,580,13,13,0,77.47,88.6
Sulawesi,Tiwoho,Reference Forest,TW18,124.8440008,1.594355845,100,100,YES,31.25,0.192035636,0.324453309,1,6,0.615386919,1.90494328,1.167626899,6.766539,391,380,11,11,0,62.76,NA
